,Symbol,Series,Date,PrevClose,OpenPrice,HighPrice,LowPrice,LastPrice,ClosePrice,AveragePrice,TotalTradedQuantity,TurnoverInRs,No.ofTrades,DeliverableQty,%DlyQttoTradedQty
0,IOC,EQ,02-Jan-2023,76.5,77.0,78.55,76.45,78.15,78.0,77.88,"1,68,78,293","1,31,44,41,804.40","50,327","79,74,846",47.25
1,IOC,EQ,03-Jan-2023,78.0,78.0,78.9,77.7,78.5,78.5,78.42,"1,15,09,540","90,25,49,754.75","46,573","42,60,058",37.01
2,IOC,EQ,04-Jan-2023,78.5,78.9,79.5,77.4,78.1,78.1,78.32,"1,19,74,831","93,78,17,600.40","37,887","41,91,663",35.0
3,IOC,EQ,05-Jan-2023,78.1,78.75,79.25,78.35,79.2,79.1,78.85,"1,44,49,439","1,13,93,98,404.90","48,670","62,97,113",43.58
4,IOC,EQ,06-Jan-2023,79.1,79.3,80.8,79.0,79.95,80.05,79.94,"1,90,75,518","1,52,48,79,903.40","60,620","74,50,026",39.06
5,IOC,EQ,09-Jan-2023,80.05,80.85,81.0,79.65,80.05,80.1,80.3,"1,64,38,468","1,31,99,54,909.90","53,509","58,27,835",35.45
6,IOC,EQ,10-Jan-2023,80.1,80.55,80.8,79.7,80.55,80.6,80.32,"1,19,53,196","96,00,97,492.75","46,696","46,87,623",39.22
7,IOC,EQ,11-Jan-2023,80.6,80.85,84.05,80.6,83.55,83.55,82.99,"4,40,99,830","3,65,96,34,788.50","1,09,996","1,77,94,614",40.35
8,IOC,EQ,12-Jan-2023,83.55,83.75,83.9,81.2,81.55,81.6,81.76,"1,64,40,461","1,34,41,83,427.00","64,953","61,35,667",37.32
9,IOC,EQ,13-Jan-2023,81.6,81.55,82.45,81.1,82.2,82.3,82.07,"80,18,070","65,80,09,969.75","35,484","32,17,005",40.12
10,IOC,EQ,16-Jan-2023,82.3,82.45,82.7,81.75,82.1,82.25,82.18,"93,67,702","76,98,83,168.00","31,479","43,46,556",46.4
11,IOC,EQ,17-Jan-2023,82.25,82.3,82.7,81.0,81.7,81.6,81.68,"87,76,414","71,68,48,487.20","37,505","38,49,276",43.86
12,IOC,EQ,18-Jan-2023,81.6,81.45,82.9,81.25,82.15,82.15,82.09,"79,80,164","65,50,78,154.75","39,334","38,19,563",47.86
13,IOC,EQ,19-Jan-2023,82.15,82.15,83.4,81.9,83.2,83.25,82.89,"98,57,262","81,70,86,692.95","36,903","52,09,271",52.85
14,IOC,EQ,20-Jan-2023,83.25,83.2,83.55,82.75,83.0,82.9,83.19,"94,11,562","78,29,60,923.15","34,264","43,60,011",46.33
15,IOC,EQ,23-Jan-2023,82.9,83.15,83.6,82.6,83.45,83.45,83.21,"69,72,772","58,01,97,227.30","30,268","34,94,586",50.12
16,IOC,EQ,24-Jan-2023,83.45,83.8,83.8,82.7,83.15,83.15,83.14,"70,69,973","58,78,30,906.20","34,504","31,91,686",45.14
17,IOC,EQ,25-Jan-2023,83.15,82.9,83.4,82.3,82.85,82.5,82.82,"81,88,678","67,81,57,274.65","31,526","36,60,737",44.7
18,IOC,EQ,27-Jan-2023,82.5,82.55,83.05,80.0,81.15,81.0,81.04,"1,08,38,959","87,84,26,464.10","45,911","49,52,488",45.69
19,IOC,EQ,30-Jan-2023,81.0,81.0,82.5,80.4,81.95,81.75,81.6,"1,07,83,051","87,98,62,865.25","41,722","49,24,484",45.67
20,IOC,EQ,31-Jan-2023,81.75,82.5,83.3,81.15,81.9,81.75,82.29,"2,17,52,061","1,78,98,98,602.35","67,683","1,06,12,362",48.79
21,IOC,EQ,01-Feb-2023,81.75,81.7,81.95,78.35,79.8,79.8,80.55,"2,00,31,377","1,61,35,63,394.10","62,410","92,55,132",46.2
22,IOC,EQ,02-Feb-2023,79.8,79.6,80.0,78.15,78.5,78.55,78.86,"1,08,17,457","85,30,27,612.55","48,793","46,26,442",42.77
23,IOC,EQ,03-Feb-2023,78.55,78.9,78.9,76.9,78.5,78.45,77.79,"1,11,16,563","86,47,82,095.15","54,998","48,37,197",43.51
24,IOC,EQ,06-Feb-2023,78.45,78.5,79.6,78.1,79.25,79.25,79.01,"95,07,602","75,12,36,942.70","44,028","38,42,419",40.41
25,IOC,EQ,07-Feb-2023,79.25,79.25,79.75,78.65,79.1,79.05,79.07,"68,76,198","54,36,73,153.45","33,029","35,59,011",51.76
26,IOC,EQ,08-Feb-2023,79.05,79.0,79.4,78.3,79.2,79.25,78.9,"60,93,832","48,08,23,607.60","31,240","25,13,204",41.24
27,IOC,EQ,09-Feb-2023,79.25,79.2,80.7,78.9,79.65,79.6,79.86,"86,09,974","68,75,78,101.30","41,710","33,97,077",39.46
28,IOC,EQ,10-Feb-2023,79.6,79.65,80.45,79.5,79.7,79.8,79.93,"62,86,269","50,24,66,706.05","29,353","27,05,738",43.04
29,IOC,EQ,13-Feb-2023,79.8,80.0,80.25,79.25,79.45,79.5,79.62,"64,70,826","51,52,22,025.15","28,510","35,82,899",55.37
30,IOC,EQ,14-Feb-2023,79.5,79.45,79.85,78.65,79.05,79.15,79.12,"50,13,825","39,66,79,784.45","26,092","21,77,915",43.44
31,IOC,EQ,15-Feb-2023,79.15,78.45,79.75,78.45,79.65,79.5,79.12,"36,86,045","29,16,54,239.00","22,032","16,58,956",45.01
32,IOC,EQ,16-Feb-2023,79.5,79.85,80.05,79.2,79.8,79.8,79.74,"86,03,036","68,59,67,011.80","30,293","43,67,193",50.76
33,IOC,EQ,17-Feb-2023,79.8,79.9,81.05,79.6,80.55,80.55,80.41,"91,45,422","73,54,07,815.90","36,360","40,50,129",44.29
34,IOC,EQ,20-Feb-2023,80.55,80.7,80.95,79.3,79.4,79.55,80.02,"68,67,570","54,95,42,130.90","29,779","30,58,929",44.54
35,IOC,EQ,21-Feb-2023,79.55,80.0,80.25,79.0,79.05,79.2,79.61,"46,33,296","36,88,61,776.35","24,589","20,41,011",44.05
36,IOC,EQ,22-Feb-2023,79.2,78.65,78.8,77.1,77.4,77.3,77.6,"98,78,001","76,65,79,614.70","38,587","48,53,657",49.14
37,IOC,EQ,23-Feb-2023,77.3,77.7,77.9,76.75,77.45,77.2,77.37,"62,90,065","48,66,88,951.85","31,281","26,36,300",41.91
38,IOC,EQ,24-Feb-2023,77.2,77.5,77.65,77.1,77.35,77.35,77.34,"61,03,178","47,20,13,629.40","23,762","32,64,420",53.49
39,IOC,EQ,27-Feb-2023,77.35,77.35,77.4,76.2,77.05,76.85,76.72,"69,45,215","53,28,21,383.45","34,320","30,50,176",43.92
