Date,Ticker,Close,High,Low,Open,Volume
2018-01-01,NESTLEIND.NS,708.8993530273438,712.3612378329077,705.7800029980559,712.2170155600371,66060
2018-01-02,NESTLEIND.NS,708.9307861328125,714.2949625368534,707.0781272073609,708.1599866963063,656130
2018-01-03,NESTLEIND.NS,708.6199951171875,715.3725259722249,707.7229665471656,712.2171336081382,279480
2018-01-04,NESTLEIND.NS,709.4448852539062,712.41544637329,706.7177577251894,709.0617414718506,279020
2018-01-05,NESTLEIND.NS,708.3178100585938,710.7745408973909,706.8978727885608,707.3757156582747,99700
2018-01-08,NESTLEIND.NS,715.9266967773438,718.3969084996024,705.9060847235908,705.9060847235908,359190
2018-01-09,NESTLEIND.NS,701.330810546875,718.4240364834719,693.1042543278795,715.9267519463165,584440
2018-01-10,NESTLEIND.NS,707.4073486328125,709.2059177621917,701.33548578173,707.7093845488365,220460
2018-01-11,NESTLEIND.NS,709.900146484375,713.118653203685,703.9545123178386,708.1421312140731,470600
2018-01-12,NESTLEIND.NS,702.232421875,712.2215060067899,698.2476282783281,710.2335938001676,323410
2018-01-15,NESTLEIND.NS,699.4104614257812,708.6106958548459,698.2429821114225,704.553764390028,264040
2018-01-16,NESTLEIND.NS,700.9116821289062,705.450914239199,696.1695703950011,699.5954132174796,279570
2018-01-17,NESTLEIND.NS,699.7667236328125,704.5539014918263,692.0765567473961,703.1745181130545,702400
2018-01-18,NESTLEIND.NS,697.4497680664062,705.9062224901164,692.9781073075484,705.9062224901164,300010
2018-01-19,NESTLEIND.NS,692.4417724609375,703.2016571549677,691.2111783650236,703.2016571549677,190370
2018-01-22,NESTLEIND.NS,691.211181640625,695.5385654692593,688.7905473565125,691.2607597700147,310620
2018-01-23,NESTLEIND.NS,685.1439208984375,694.0962692760309,683.818682362745,694.0962692760309,367380
2018-01-24,NESTLEIND.NS,684.5307006835938,688.2315620387044,680.5278584623005,687.8754359151741,158630
2018-01-25,NESTLEIND.NS,675.321533203125,687.4787949385117,670.1151142490346,680.9336014050282,374380
2018-01-29,NESTLEIND.NS,678.936767578125,683.9943974733172,672.5493321943551,678.8601168128008,465730
2018-01-30,NESTLEIND.NS,672.1795654296875,678.0711080337535,667.5952124519578,677.9584154779892,288720
2018-01-31,NESTLEIND.NS,673.3742065429688,677.4176581282369,668.60056426684,674.7085241060945,248390
2018-02-01,NESTLEIND.NS,659.1028442382812,679.4866644582476,656.3215716152574,676.0653332112053,1063950
2018-02-02,NESTLEIND.NS,643.2897338867188,668.4923152729417,642.3476394227525,658.1245989875218,644130
2018-02-05,NESTLEIND.NS,643.2219848632812,649.0189378964282,630.866413643833,642.7982872993967,555750
2018-02-06,NESTLEIND.NS,632.5479125976562,634.242813266129,629.7260862201281,631.0783970709945,682190
2018-02-07,NESTLEIND.NS,631.7093505859375,641.5361076396607,628.8965490232519,639.9088338689087,400860
2018-02-08,NESTLEIND.NS,629.8162231445312,639.5529053667159,620.9135099740422,632.340580772902,682890
2018-02-09,NESTLEIND.NS,628.34228515625,634.0715582129966,624.0644242721677,628.64426604883,745320
2018-02-12,NESTLEIND.NS,643.871337890625,649.0191549622042,630.5420832011108,630.8981543508354,1048850
2018-02-14,NESTLEIND.NS,654.9646606445312,665.715520093676,645.683316611316,649.1091595035628,1174490
2018-02-15,NESTLEIND.NS,683.6563720703125,689.2278871712444,669.5788223941347,676.1555466035753,3544360
2018-02-16,NESTLEIND.NS,684.526123046875,695.9892341917786,682.9168975392128,689.6784509801951,769910
2018-02-19,NESTLEIND.NS,676.7593994140625,687.875409312498,675.258354273754,687.875409312498,507460
2018-02-20,NESTLEIND.NS,682.7050170898438,685.7071070599967,677.9583935881512,677.9583935881512,498650
2018-02-21,NESTLEIND.NS,684.9500122070312,686.8477376428621,682.5113293726951,683.2776719308258,733670
2018-02-22,NESTLEIND.NS,680.0589599609375,690.4807643949932,674.2845675021083,685.0805464046225,944210
2018-02-23,NESTLEIND.NS,683.6202392578125,686.879299754539,678.5084643873981,682.7366920437256,664640
2018-02-26,NESTLEIND.NS,687.447265625,689.6785565919407,681.7585466598894,686.523164502958,658940
2018-02-27,NESTLEIND.NS,699.5909423828125,702.6607143138572,686.9738870096686,689.1376063018558,698830
2018-02-28,NESTLEIND.NS,699.7442016601562,709.8730515658426,695.8946609264775,699.5053352337508,755760
2018-03-01,NESTLEIND.NS,707.6552734375,710.0533471973733,701.1281283651938,701.1281283651938,610860
2018-03-05,NESTLEIND.NS,695.4484252929688,710.4139769079183,693.7535246008302,710.4139769079183,636430
2018-03-06,NESTLEIND.NS,693.1809692382812,701.3985020097779,689.6784756265811,699.9019690059853,623060
2018-03-07,NESTLEIND.NS,694.5875244140625,703.0214199717717,689.7101584604361,695.0788486835623,613880
2018-03-08,NESTLEIND.NS,695.0922241210938,702.1197167750876,694.1861715341163,702.1197167750876,499940
2018-03-09,NESTLEIND.NS,690.341064453125,700.2715457329871,688.9572240713039,700.2715457329871,1043100
2018-03-12,NESTLEIND.NS,686.8837280273438,694.9975925163235,682.1055193633013,693.7173653895833,289430
2018-03-13,NESTLEIND.NS,694.2088012695312,701.7592035633481,686.5862603227351,686.8837841188134,658590
2018-03-14,NESTLEIND.NS,689.4754638671875,695.6239199243179,686.6806560882967,694.2761216581654,646200
2018-03-15,NESTLEIND.NS,695.9757690429688,697.7022544145252,685.6396374403449,696.8007138635442,654890
2018-03-16,NESTLEIND.NS,693.7669067382812,699.41055876556,691.4905501149387,698.6938495142116,1766010
2018-03-19,NESTLEIND.NS,690.8775634765625,696.4355409842066,687.6500330013395,696.2191800630817,669180
2018-03-20,NESTLEIND.NS,706.9385375976562,709.9631885578378,690.9136321885118,694.1772046024321,1354870
2018-03-21,NESTLEIND.NS,708.0023193359375,718.0770236341458,702.7553469104461,711.2253376976208,759260
2018-03-22,NESTLEIND.NS,706.8754272460938,713.6594869606138,704.7657981194483,707.5290221433601,601000
2018-03-23,NESTLEIND.NS,702.6427001953125,706.5057773613613,699.5594468252503,703.2016509517077,972740
2018-03-26,NESTLEIND.NS,705.8206176757812,713.9254582665034,699.5954538806697,705.6357864592574,624610
2018-03-27,NESTLEIND.NS,731.3929443359375,735.1163118444613,708.701125204172,712.2126438534781,1250000
2018-03-28,NESTLEIND.NS,739.5833740234375,743.7710480171562,732.1411514378906,735.2064117066557,1240760
2018-04-02,NESTLEIND.NS,749.08544921875,751.8847146308368,736.5540152979718,739.2496123652644,610240
2018-04-03,NESTLEIND.NS,752.240966796875,755.4819787564675,746.4710850980813,748.2696541458104,606120
2018-04-04,NESTLEIND.NS,752.881103515625,757.2040306462073,749.3606158130776,750.262156482962,669150
2018-04-05,NESTLEIND.NS,755.8739624023438,758.0151207490567,753.7823821721602,756.2706423602348,366480
2018-04-06,NESTLEIND.NS,752.5114135742188,757.3436578290052,749.6309848465626,755.874142296104,385440
2018-04-09,NESTLEIND.NS,755.6937866210938,757.1137239569789,750.9922835847558,752.7863404302974,540410
2018-04-10,NESTLEIND.NS,766.2283325195312,771.430239290524,755.4910083896323,757.2715290304017,597060
2018-04-11,NESTLEIND.NS,764.1773681640625,766.91351964827,755.3287450564922,766.2734610446641,367110
2018-04-12,NESTLEIND.NS,778.6560668945312,782.9879626061576,755.7614271672808,761.4411215903783,838150
2018-04-13,NESTLEIND.NS,783.2134399414062,787.9465283554406,775.9605608169937,779.8371746081157,506800
2018-04-16,NESTLEIND.NS,788.7938232421875,791.5525348871229,779.8325087441473,784.7459153246044,876570
2018-04-17,NESTLEIND.NS,812.6126098632812,815.804098756006,791.1919967233592,791.9583392373072,1177580
2018-04-18,NESTLEIND.NS,809.1552124023438,822.1103458359318,806.8968488995051,809.6825784130451,474940
2018-04-19,NESTLEIND.NS,824.50830078125,829.2368759312534,808.1408628993447,809.2091861071241,672680
2018-04-20,NESTLEIND.NS,825.991455078125,833.9250008377178,822.6557440696406,827.1634467768715,431950
2018-04-23,NESTLEIND.NS,802.8533325195312,827.8080215955538,800.5724637032092,825.9102414549991,675780
2018-04-24,NESTLEIND.NS,795.3435668945312,813.2661967674993,794.0904123702339,804.1651166386154,510220
2018-04-25,NESTLEIND.NS,787.4552001953125,803.1194689163041,780.7387113788749,795.1588496065913,842600
2018-04-26,NESTLEIND.NS,815.258544921875,828.5157132820675,790.6600367752773,793.3420977323825,1324980
2018-04-27,NESTLEIND.NS,816.9490356445312,823.0885249712114,811.927447865338,812.756904841456,389310
2018-04-30,NESTLEIND.NS,847.13720703125,851.7755962643007,817.1519561676782,820.4019926070982,668760
2018-05-02,NESTLEIND.NS,829.5299072265625,856.1929770619904,828.037831368289,847.8987939101557,629310
2018-05-03,NESTLEIND.NS,820.2801513671875,837.5221137058597,816.3539600350128,835.9083759942513,462010
2018-05-04,NESTLEIND.NS,821.4297485351562,825.6263915836323,819.0225954178363,824.0261899696612,337950
2018-05-07,NESTLEIND.NS,819.7438354492188,827.0733648977904,812.7478716191607,821.6686334260587,570500
2018-05-08,NESTLEIND.NS,821.9976196289062,827.1634292134921,818.7881375705323,827.1634292134921,917030
2018-05-09,NESTLEIND.NS,822.2725219726562,826.6224656756681,817.715241573087,817.715241573087,245990
2018-05-10,NESTLEIND.NS,809.72314453125,830.7740934648374,805.4949173312223,823.917895482986,442740
2018-05-11,NESTLEIND.NS,858.5370483398438,867.2549299859655,824.9095970814388,833.0234619707645,2086930
2018-05-14,NESTLEIND.NS,862.9005126953125,867.5028594746412,856.6438192407026,858.537032335987,495760
2018-05-15,NESTLEIND.NS,862.3416137695312,869.0851197042502,854.20970012425,865.4789573818259,881370
2018-05-16,NESTLEIND.NS,871.9230346679688,873.9063267315867,856.7495044555443,864.4019352614745,507090
2018-05-17,NESTLEIND.NS,900.4844360351562,917.5647473001931,885.8394772944969,894.8389052931176,829570
2018-05-18,NESTLEIND.NS,898.4108276367188,910.054448268541,893.9250721072448,899.0139039898405,856590
2018-05-21,NESTLEIND.NS,880.1198120117188,904.5805898766448,878.2364016539402,899.0139400927885,414970
2018-05-22,NESTLEIND.NS,893.8416137695312,895.3028707129126,875.5969388675757,881.85013327733,539110
2018-05-23,NESTLEIND.NS,894.49560546875,901.7693288647428,891.6102391634217,894.7136189765317,369620
2018-05-24,NESTLEIND.NS,896.7269897460938,901.0504529814383,893.3545751687402,895.2935932185721,294010
2018-05-25,NESTLEIND.NS,903.1702880859375,909.1266436925728,893.8230013056047,896.0356968670794,307230
2018-05-28,NESTLEIND.NS,896.1424560546875,906.8999790084135,894.0085284496288,901.3333295208938,368710
2018-05-29,NESTLEIND.NS,882.5272827148438,895.2100061207062,879.5305879671622,890.8494528507664,439140
2018-05-30,NESTLEIND.NS,884.174072265625,891.127740211146,881.3861043212793,888.6227367998038,590990
2018-05-31,NESTLEIND.NS,895.6738891601562,909.1266248804653,886.0250077858705,886.943495854059,1496240
2018-06-01,NESTLEIND.NS,918.3626708984375,927.6822112037667,894.7183394791166,897.0656373241294,1486740
2018-06-04,NESTLEIND.NS,910.7966918945312,927.7749623807205,906.7423198390786,927.7749623807205,370460
2018-06-05,NESTLEIND.NS,884.693603515625,912.9304280573856,880.4583091732306,911.0052839695916,620740
2018-06-06,NESTLEIND.NS,905.5408935546875,908.9412253449273,886.9853926050183,890.5712907301337,385220
2018-06-07,NESTLEIND.NS,908.054931640625,912.921105880446,902.7434436225327,911.0701997059075,452480
2018-06-08,NESTLEIND.NS,917.4625854492188,924.5229380351377,905.5128415824527,909.2146539470817,582110
2018-06-11,NESTLEIND.NS,920.05126953125,933.3833918631348,916.6417077029762,917.3792729786446,434310
2018-06-12,NESTLEIND.NS,912.3970947265625,922.811402811483,911.0750267107362,922.1155715792702,271190
2018-06-13,NESTLEIND.NS,912.6568603515625,917.5694127879572,908.291663416997,917.5694127879572,295310
2018-06-14,NESTLEIND.NS,905.2067260742188,914.7813694338375,903.6527145076035,912.5639739258565,292540
2018-06-15,NESTLEIND.NS,903.884765625,906.8907474711641,897.6222845698614,905.5083718244804,766810
2018-06-18,NESTLEIND.NS,892.3849487304688,908.347332463352,888.1404236722647,899.9416937537788,467720
2018-06-19,NESTLEIND.NS,892.3663940429688,927.6635743653626,881.4000878963681,927.6635743653626,673920
2018-06-20,NESTLEIND.NS,902.2658081054688,904.571315331756,894.3843642097792,896.6945148411004,592860
2018-06-21,NESTLEIND.NS,913.8953857421875,919.7914338581745,901.1060334007768,904.5851893467075,437720
2018-06-22,NESTLEIND.NS,915.8112182617188,919.698597331128,905.5082961884971,912.9304953375831,360040
2018-06-25,NESTLEIND.NS,918.0239868164062,927.5893438753147,913.0604136976833,913.8675733393914,520080
