,Symbol,Series,Date,PrevClose,OpenPrice,HighPrice,LowPrice,LastPrice,ClosePrice,AveragePrice,TotalTradedQuantity,TurnoverInRs,No.ofTrades,DeliverableQty,%DlyQttoTradedQty
0,NTPC,EQ,02-Jan-2023,166.45,167.05,168.55,166.40,168.05,168.00,167.78,"73,22,962","1,22,86,71,707.55","78,405","48,07,305",65.65
1,NTPC,N1,02-Jan-2023,"1,025.30","1,025.20","1,025.20","1,025.20","1,025.20","1,025.20","1,025.20",4,"4,100.80",2,2,50.00
2,NTPC,N4,02-Jan-2023,"1,035.00","1,035.00","1,035.00","1,026.00","1,026.00","1,030.82","1,033.50",636,"6,57,306.70",13,636,100.00
3,NTPC,N5,02-Jan-2023,"1,181.00","1,183.00","1,183.00","1,183.00","1,183.00","1,183.00","1,183.00",121,"1,43,143.00",2,121,100.00
4,NTPC,N6,02-Jan-2023,"1,293.00","1,299.00","1,299.00","1,291.50","1,291.50","1,291.50","1,292.97",61,"78,871.45",7,61,100.00
5,NTPC,N7,02-Jan-2023,13.49,13.49,13.53,13.42,13.52,13.52,13.50,"22,631","3,05,490.84",86,"16,314",72.09
6,NTPC,NB,02-Jan-2023,"1,056.10","1,068.00","1,068.00","1,068.00","1,068.00","1,068.00","1,068.00",50,"53,400.00",1,50,100.00
7,NTPC,EQ,03-Jan-2023,168.00,168.00,169.20,166.80,167.50,167.60,167.99,"96,29,995","1,61,77,06,941.25","65,001","62,71,147",65.12
8,NTPC,N3,03-Jan-2023,"1,355.00","1,326.00","1,326.00","1,326.00","1,326.00","1,326.00","1,326.00",1,"1,326.00",1,1,100.00
9,NTPC,N4,03-Jan-2023,"1,030.82","1,030.00","1,034.00","1,026.70","1,033.99","1,029.94","1,030.96","1,690","17,42,315.55",26,"1,510",89.35
10,NTPC,N5,03-Jan-2023,"1,183.00","1,183.00","1,183.00","1,183.00","1,183.00","1,183.00","1,183.00",130,"1,53,790.00",2,130,100.00
11,NTPC,N7,03-Jan-2023,13.52,13.52,13.55,13.49,13.51,13.51,13.52,"25,500","3,44,682.38",91,"21,647",84.89
12,NTPC,,03-Jan-2023,"1,440.00","1,585.00","1,585.00","1,585.00","1,585.00","1,585.00","1,585.00",60,"95,100.00",1,60,100.00
13,NTPC,EQ,04-Jan-2023,167.60,167.85,168.50,164.70,167.00,166.60,166.11,"1,19,95,082","1,99,25,57,862.00","96,226","78,69,968",65.61
14,NTPC,N2,04-Jan-2023,"1,172.00","1,163.00","1,163.00","1,163.00","1,163.00","1,163.00","1,163.00",95,"1,10,485.00",1,95,100.00
15,NTPC,N4,04-Jan-2023,"1,029.94","1,044.00","1,044.00","1,043.99","1,043.99","1,043.99","1,043.99",103,"1,07,531.00",2,103,100.00
16,NTPC,N5,04-Jan-2023,"1,183.00","1,189.00","1,189.00","1,181.00","1,181.00","1,181.00","1,181.45",53,"62,617.00",2,53,100.00
17,NTPC,N7,04-Jan-2023,13.51,13.50,13.59,13.50,13.54,13.53,13.53,"9,435","1,27,610.46",58,"7,259",76.94
18,NTPC,N9,04-Jan-2023,"1,237.81","1,364.80","1,364.80","1,364.80","1,364.80","1,364.80","1,364.80",1,"1,364.80",1,1,100.00
19,NTPC,,04-Jan-2023,"1,585.00","1,875.00","1,875.00","1,875.00","1,875.00","1,875.00","1,875.00",20,"37,500.00",1,20,100.00
20,NTPC,ND,04-Jan-2023,"1,210.00","1,210.00","1,210.00","1,206.00","1,208.00","1,206.73","1,207.11",226,"2,72,807.00",8,173,76.55
21,NTPC,EQ,05-Jan-2023,166.60,168.00,170.35,167.15,169.60,169.90,168.95,"1,88,87,530","3,19,10,69,402.95","93,392","1,02,64,167",54.34
22,NTPC,N1,05-Jan-2023,"1,025.20","1,077.90","1,077.90","1,077.90","1,077.90","1,077.90","1,077.90",53,"57,128.70",1,53,100.00
23,NTPC,N3,05-Jan-2023,"1,326.00","1,326.00","1,326.00","1,326.00","1,326.00","1,326.00","1,326.00",304,"4,03,104.00",1,304,100.00
24,NTPC,N4,05-Jan-2023,"1,043.99","1,027.00","1,034.99","1,026.80","1,034.99","1,034.99","1,030.10",500,"5,15,050.00",4,300,60.00
25,NTPC,N5,05-Jan-2023,"1,181.00","1,183.00","1,183.00","1,181.00","1,181.00","1,181.00","1,182.20",376,"4,44,508.00",3,376,100.00
26,NTPC,N7,05-Jan-2023,13.53,13.51,13.55,13.50,13.52,13.51,13.51,"16,003","2,16,220.18",59,"14,702",91.87
27,NTPC,NC,05-Jan-2023,"1,138.50","1,141.50","1,145.00","1,141.50","1,145.00","1,145.00","1,143.25",62,"70,881.50",2,31,50.00
28,NTPC,EQ,06-Jan-2023,169.90,170.45,172.15,168.55,169.25,169.00,170.34,"1,32,16,749","2,25,13,71,824.70","68,064","74,00,324",55.99
29,NTPC,N1,06-Jan-2023,"1,077.90","1,076.78","1,076.78","1,076.78","1,076.78","1,076.78","1,076.78",275,"2,96,114.50",1,275,100.00
30,NTPC,N4,06-Jan-2023,"1,034.99","1,030.00","1,039.84","1,030.00","1,037.85","1,037.85","1,034.85",245,"2,53,537.65",9,245,100.00
31,NTPC,N5,06-Jan-2023,"1,181.00","1,181.00","1,181.00","1,181.00","1,181.00","1,181.00","1,181.00",200,"2,36,200.00",3,200,100.00
