,Symbol,Series,Date,PrevClose,OpenPrice,HighPrice,LowPrice,LastPrice,ClosePrice,AveragePrice,TotalTradedQuantity,TurnoverInRs,No.ofTrades,DeliverableQty,%DlyQttoTradedQty
0,TATAMOTORS,EQ,02-Jan-2023,387.95,392.5,396.0,391.0,395.0,394.8,394.17,"1,05,01,357","4,13,93,54,568.30","1,42,685","30,93,993",29.46
1,TATAMOTORS,EQ,03-Jan-2023,394.8,396.0,398.35,393.0,393.9,393.9,395.21,"94,31,220","3,72,72,87,418.50","1,33,270","30,54,642",32.39
2,TATAMOTORS,EQ,04-Jan-2023,393.9,394.8,394.8,385.0,385.75,385.6,387.3,"1,61,21,049","6,24,36,66,263.20","1,72,074","81,86,814",50.78
3,TATAMOTORS,EQ,05-Jan-2023,385.6,387.9,388.75,382.5,387.0,386.9,386.13,"1,04,43,908","4,03,26,91,650.75","1,30,918","42,50,557",40.7
4,TATAMOTORS,EQ,06-Jan-2023,386.9,386.1,388.4,381.0,382.05,382.0,384.04,"87,15,469","3,34,71,21,640.85","1,47,467","37,87,825",43.46
5,TATAMOTORS,EQ,09-Jan-2023,382.0,386.35,392.7,385.0,388.95,389.45,389.87,"1,46,93,099","5,72,84,45,417.50","1,67,573","71,69,022",48.79
6,TATAMOTORS,EQ,10-Jan-2023,389.45,400.0,417.75,400.0,412.5,412.9,411.86,"5,40,21,379","22,24,94,91,445.35","4,67,152","1,51,27,215",28.0
7,TATAMOTORS,EQ,11-Jan-2023,412.9,415.75,420.0,413.55,417.2,418.2,417.61,"2,22,24,361","9,28,10,97,362.10","2,20,634","95,60,380",43.02
8,TATAMOTORS,EQ,12-Jan-2023,418.2,420.3,420.5,410.05,412.2,412.25,414.69,"1,24,79,034","5,17,49,61,009.80","1,43,171","48,50,395",38.87
9,TATAMOTORS,EQ,13-Jan-2023,412.25,413.0,416.35,408.0,411.7,411.5,411.59,"1,04,49,630","4,30,09,74,443.00","1,29,743","33,66,155",32.21
10,TATAMOTORS,EQ,16-Jan-2023,411.5,413.5,414.9,407.6,412.9,413.0,411.4,"1,14,62,140","4,71,55,66,789.30","1,44,517","57,87,386",50.49
11,TATAMOTORS,EQ,17-Jan-2023,413.0,413.0,419.45,412.5,414.7,415.3,416.64,"1,23,37,969","5,14,04,69,409.20","1,48,089","57,14,483",46.32
12,TATAMOTORS,EQ,18-Jan-2023,415.3,415.9,415.95,407.45,408.8,408.4,409.94,"1,33,10,316","5,45,64,89,501.00","2,01,954","72,10,959",54.18
13,TATAMOTORS,EQ,19-Jan-2023,408.4,406.5,407.8,400.1,400.75,400.75,403.93,"1,31,26,520","5,30,22,07,443.40","2,09,594","61,74,365",47.04
14,TATAMOTORS,EQ,20-Jan-2023,400.75,404.0,412.5,401.2,402.95,403.15,406.24,"2,39,06,114","9,71,15,59,781.25","2,27,306","1,09,26,518",45.71
15,TATAMOTORS,EQ,23-Jan-2023,403.15,407.0,410.95,405.0,408.0,408.4,409.03,"1,31,13,183","5,36,36,52,738.90","1,44,746","73,26,220",55.87
16,TATAMOTORS,EQ,24-Jan-2023,408.4,410.0,424.0,410.0,422.0,422.15,419.81,"3,01,97,475","12,67,71,58,297.25","2,81,507","1,43,36,646",47.48
17,TATAMOTORS,EQ,25-Jan-2023,422.15,423.75,427.25,417.7,418.6,419.05,420.93,"2,29,75,581","9,67,10,23,651.60","2,60,064","1,01,84,357",44.33
18,TATAMOTORS,EQ,27-Jan-2023,419.05,438.0,453.4,435.15,445.25,445.6,444.86,"6,33,60,467","28,18,65,09,532.55","6,21,705","2,18,10,513",34.42
19,TATAMOTORS,EQ,30-Jan-2023,445.6,445.6,450.0,437.65,443.55,443.65,443.81,"1,83,16,743","8,12,91,80,071.90","2,64,923","66,78,723",36.46
20,TATAMOTORS,EQ,31-Jan-2023,443.65,443.7,454.8,440.9,451.5,452.1,450.19,"2,51,54,475","11,32,42,04,933.50","3,05,763","1,32,62,213",52.72
21,TATAMOTORS,EQ,01-Feb-2023,452.1,456.8,461.5,437.65,446.35,446.65,452.16,"2,37,98,589","10,76,06,85,912.05","2,47,831","71,35,962",29.98
22,TATAMOTORS,EQ,02-Feb-2023,446.65,446.75,449.2,440.7,444.4,444.8,444.35,"1,13,44,554","5,04,10,05,372.05","1,56,780","39,42,455",34.75
