,Symbol,Series,Date,PrevClose,OpenPrice,HighPrice,LowPrice,LastPrice,ClosePrice,AveragePrice,TotalTradedQuantity,TurnoverInRs,No.ofTrades,DeliverableQty,%DlyQttoTradedQty
0,UPL,EQ,02-Jan-2023,716.15,718.6,724.0,711.95,722.55,722.0,718.68,"12,59,229","90,49,78,831.70","27,951","5,31,438",42.2
1,UPL,EQ,03-Jan-2023,722.0,722.5,727.25,717.2,719.8,719.35,721.06,"12,77,112","92,08,72,290.10","27,617","5,45,983",42.75
2,UPL,EQ,04-Jan-2023,719.35,721.2,722.1,712.0,715.1,715.65,716.57,"13,54,737","97,07,66,528.75","42,034","6,41,073",47.32
3,UPL,EQ,05-Jan-2023,715.65,719.25,724.7,713.4,720.0,720.3,719.05,"14,07,487","1,01,20,50,813.55","52,629","6,59,087",46.83
4,UPL,EQ,06-Jan-2023,720.3,721.4,729.35,715.35,718.05,718.15,721.0,"12,09,522","87,20,64,141.95","35,192","4,31,451",35.67
5,UPL,EQ,09-Jan-2023,718.15,724.0,736.15,722.6,733.7,734.2,728.69,"13,58,106","98,96,42,195.25","51,222","7,12,723",52.48
6,UPL,EQ,10-Jan-2023,734.2,735.85,735.85,720.0,723.95,724.65,726.38,"14,84,340","1,07,81,90,729.75","31,738","8,21,418",55.34
7,UPL,EQ,11-Jan-2023,724.65,726.0,727.7,715.4,717.75,717.8,719.6,"14,00,355","1,00,76,94,962.10","40,548","7,39,003",52.77
8,UPL,EQ,12-Jan-2023,717.8,721.4,722.9,714.35,719.0,717.8,717.9,"12,72,850","91,37,84,406.35","43,359","6,28,191",49.35
9,UPL,EQ,13-Jan-2023,717.8,721.0,723.6,714.4,717.0,718.8,718.34,"13,10,587","94,14,44,518.90","36,955","7,16,649",54.68
10,UPL,EQ,16-Jan-2023,718.8,721.45,723.0,710.5,714.0,714.05,714.72,"10,79,570","77,15,85,531.80","29,336","5,84,591",54.15
11,UPL,EQ,17-Jan-2023,714.05,715.0,723.0,713.6,720.6,719.2,718.38,"13,49,682","96,95,79,340.55","42,238","7,85,510",58.2
12,UPL,EQ,18-Jan-2023,719.2,721.25,734.0,721.05,733.0,732.35,727.22,"14,30,862","1,04,05,52,001.85","50,941","7,61,546",53.22
13,UPL,EQ,19-Jan-2023,732.35,732.0,748.85,730.0,748.15,747.55,744.25,"35,53,403","2,64,46,32,727.80","72,471","18,13,951",51.05
14,UPL,EQ,20-Jan-2023,747.55,747.6,748.4,735.2,737.95,737.8,741.69,"9,79,497","72,64,85,933.50","36,277","4,88,114",49.83
15,UPL,EQ,23-Jan-2023,737.8,742.95,753.45,738.2,750.0,749.45,748.85,"25,26,843","1,89,22,27,804.70","47,716","12,78,377",50.59
16,UPL,EQ,24-Jan-2023,749.45,750.0,753.6,743.0,744.35,745.95,747.2,"11,32,275","84,60,36,795.15","29,527","6,77,862",59.87
17,UPL,EQ,25-Jan-2023,745.95,744.0,746.75,735.25,737.0,737.95,739.23,"18,65,988","1,37,94,03,506.95","43,049","11,33,271",60.73
18,UPL,EQ,27-Jan-2023,737.95,741.65,756.7,735.2,744.35,744.7,744.38,"49,03,817","3,65,02,96,084.05","61,272","30,88,510",62.98
19,UPL,EQ,30-Jan-2023,744.7,748.75,750.55,737.6,747.0,745.15,744.03,"11,89,091","88,47,23,551.80","37,975","5,49,933",46.25
20,UPL,EQ,31-Jan-2023,745.15,748.0,766.7,748.0,756.85,757.2,758.53,"36,29,320","2,75,29,55,725.55","93,008","18,18,264",50.1
21,UPL,EQ,01-Feb-2023,757.2,765.1,771.6,730.0,740.0,742.15,750.44,"36,23,038","2,71,88,70,166.60","88,302","18,25,348",50.38
22,UPL,EQ,02-Feb-2023,742.15,741.0,744.95,684.25,698.95,696.4,700.61,"76,98,238","5,39,34,95,041.80","1,90,697","37,40,245",48.59
23,UPL,EQ,03-Feb-2023,696.4,701.1,718.0,697.5,713.75,715.7,708.67,"26,01,859","1,84,38,48,981.40","76,616","10,10,341",38.83
24,UPL,EQ,06-Feb-2023,715.7,715.5,716.7,701.35,715.0,714.55,710.35,"13,66,976","97,10,27,466.95","36,507","6,20,121",45.36
25,UPL,EQ,07-Feb-2023,714.55,715.4,716.95,701.15,709.2,709.25,708.55,"15,71,287","1,11,33,27,888.55","50,757","8,13,064",51.75
26,UPL,EQ,08-Feb-2023,709.25,711.0,723.8,710.0,719.95,722.65,717.53,"10,50,880","75,40,41,283.20","30,031","4,93,292",46.94
27,UPL,EQ,09-Feb-2023,722.65,721.05,722.75,714.05,717.0,717.1,717.64,"10,97,590","78,76,73,890.65","31,896","6,38,809",58.2
28,UPL,EQ,10-Feb-2023,717.1,717.1,729.35,716.55,727.65,726.9,724.95,"12,82,246","92,95,64,282.05","35,566","4,34,185",33.86
