,Symbol,Series,Date,PrevClose,OpenPrice,HighPrice,LowPrice,LastPrice,ClosePrice,AveragePrice,TotalTradedQuantity,TurnoverInRs,No.ofTrades,DeliverableQty,%DlyQttoTradedQty
0,HDFC,EQ,02-Jan-2023,"2,637.60","2,626.10","2,659.15","2,626.10","2,655.05","2,652.40","2,647.21","11,06,318","2,92,86,54,109.00","77,678","6,77,112",61.2
1,HDFC,W3,02-Jan-2023,590.25,580.20,598.00,580.20,596.50,594.75,591.70,"3,600","21,30,120.00",6,"3,600",100.0
2,HDFC,EQ,03-Jan-2023,"2,652.40","2,643.25","2,672.80","2,638.50","2,663.05","2,664.70","2,655.34","22,62,464","6,00,76,09,954.45","70,613","14,77,250",65.29
3,HDFC,W3,03-Jan-2023,594.75,596.00,615.00,595.00,615.00,609.40,603.42,"24,600","1,48,44,210.00",32,"21,000",85.37
4,HDFC,EQ,04-Jan-2023,"2,664.70","2,659.00","2,670.00","2,615.50","2,625.00","2,625.70","2,642.03","21,25,220","5,61,48,97,040.00","1,34,227","14,94,771",70.33
5,HDFC,W3,04-Jan-2023,609.40,610.00,610.00,575.25,580.00,579.00,583.46,"21,000","1,22,52,750.00",34,"18,000",85.71
6,HDFC,EQ,05-Jan-2023,"2,625.70","2,638.00","2,644.30","2,606.20","2,624.90","2,621.60","2,623.93","29,10,551","7,63,70,82,366.25","1,30,753","21,90,634",75.27
7,HDFC,W3,05-Jan-2023,579.00,596.00,598.00,571.15,577.00,577.00,581.50,"16,800","97,69,230.00",28,"11,400",67.86
8,HDFC,EQ,06-Jan-2023,"2,621.60","2,627.00","2,635.00","2,590.00","2,597.00","2,596.00","2,608.62","18,13,292","4,73,01,88,833.95","1,71,225","12,48,418",68.85
9,HDFC,W3,06-Jan-2023,577.00,570.00,570.00,555.00,563.00,563.00,563.85,"11,400","64,27,860.00",18,"8,400",73.68
10,HDFC,EQ,09-Jan-2023,"2,596.00","2,600.90","2,629.95","2,591.05","2,619.00","2,615.90","2,614.63","28,95,579","7,57,08,71,950.50","99,535","18,88,972",65.24
11,HDFC,W3,09-Jan-2023,563.00,571.00,580.00,570.00,578.00,578.00,573.51,"6,600","37,85,160.00",11,"2,400",36.36
12,HDFC,EQ,10-Jan-2023,"2,615.90","2,612.10","2,615.85","2,563.00","2,578.05","2,575.35","2,578.29","19,90,190","5,13,12,88,939.05","1,65,445","12,98,176",65.23
13,HDFC,W3,10-Jan-2023,578.00,554.05,555.00,544.60,547.50,548.05,549.72,"1,66,200","9,13,63,650.00",80,"1,56,000",93.86
14,HDFC,EQ,11-Jan-2023,"2,575.35","2,566.00","2,605.20","2,547.05","2,593.00","2,594.85","2,585.51","19,10,362","4,93,92,69,031.55","1,04,086","11,23,910",58.83
15,HDFC,W3,11-Jan-2023,548.05,546.00,569.80,546.00,552.00,552.20,554.76,"25,200","1,39,80,030.00",26,"19,800",78.57
16,HDFC,EQ,12-Jan-2023,"2,594.85","2,595.70","2,621.60","2,593.10","2,613.00","2,612.80","2,608.93","27,23,696","7,10,59,34,268.25","1,56,863","20,05,124",73.62
17,HDFC,W3,12-Jan-2023,552.20,568.00,570.10,560.00,570.05,570.05,564.26,"19,800","1,11,72,330.00",29,"16,800",84.85
18,HDFC,EQ,13-Jan-2023,"2,612.80","2,608.00","2,631.10","2,590.60","2,619.25","2,621.65","2,610.84","33,78,677","8,82,11,71,409.65","1,14,890","26,99,765",79.91
19,HDFC,W3,13-Jan-2023,570.05,570.00,582.00,565.15,575.00,575.00,570.96,"22,800","1,30,17,780.00",18,"18,600",81.58
