,Symbol,Series,Date,PrevClose,OpenPrice,HighPrice,LowPrice,LastPrice,ClosePrice,AveragePrice,TotalTradedQuantity,TurnoverInRs,No.ofTrades,DeliverableQty,%DlyQttoTradedQty
0,HINDALCO,EQ,02-Jan-2023,473.35,475.95,491.0,475.15,486.5,487.05,485.89,"1,12,55,811","5,46,90,70,952.55","1,57,286","29,73,028",26.41
1,HINDALCO,EQ,03-Jan-2023,487.05,486.5,488.45,478.5,478.75,479.9,483.36,"59,06,501","2,85,49,47,436.90","73,113","18,00,201",30.48
2,HINDALCO,EQ,04-Jan-2023,479.9,477.0,477.45,460.0,460.45,461.5,465.13,"98,99,885","4,60,46,96,461.95","1,18,644","28,61,264",28.9
3,HINDALCO,EQ,05-Jan-2023,461.5,463.25,467.45,458.65,465.2,465.7,463.31,"70,87,634","3,28,37,67,407.30","86,673","19,50,737",27.52
4,HINDALCO,EQ,06-Jan-2023,465.7,467.0,474.0,461.1,463.95,462.65,467.41,"60,04,013","2,80,63,51,920.80","75,800","11,58,466",19.29
5,HINDALCO,EQ,09-Jan-2023,462.65,471.0,474.0,466.2,470.0,470.75,470.83,"60,47,398","2,84,73,17,393.65","1,03,836","24,51,322",40.54
6,HINDALCO,EQ,10-Jan-2023,470.75,478.0,480.5,473.3,477.25,477.55,476.71,"70,92,319","3,38,09,97,195.50","88,442","21,11,872",29.78
7,HINDALCO,EQ,11-Jan-2023,477.55,481.9,493.45,481.0,490.8,490.95,488.17,"1,13,83,752","5,55,72,62,802.40","1,25,754","36,71,371",32.25
8,HINDALCO,EQ,12-Jan-2023,490.95,495.0,495.6,482.2,485.5,485.65,485.98,"72,78,634","3,53,72,78,671.00","79,902","31,41,847",43.17
9,HINDALCO,EQ,13-Jan-2023,485.65,487.65,490.0,482.65,487.45,488.5,487.04,"74,45,162","3,62,60,80,066.40","80,425","27,34,322",36.73
10,HINDALCO,EQ,16-Jan-2023,488.5,490.95,492.7,481.25,483.0,483.05,484.64,"32,94,109","1,59,64,50,369.30","55,779","9,41,386",28.58
11,HINDALCO,EQ,17-Jan-2023,483.05,481.75,489.3,476.95,487.3,487.9,483.61,"78,19,426","3,78,15,51,071.80","92,103","26,15,348",33.45
12,HINDALCO,EQ,18-Jan-2023,487.9,488.5,504.0,488.5,502.2,502.95,498.46,"1,20,45,667","6,00,42,44,923.65","1,52,628","48,00,837",39.86
13,HINDALCO,EQ,19-Jan-2023,502.95,493.15,503.0,491.0,498.8,498.9,498.1,"79,45,795","3,95,78,09,999.00","1,07,718","25,67,022",32.31
14,HINDALCO,EQ,20-Jan-2023,498.9,498.0,501.55,488.25,490.5,489.95,494.83,"56,64,588","2,80,30,02,342.95","66,777","26,20,251",46.26
15,HINDALCO,EQ,23-Jan-2023,489.95,494.0,500.35,491.2,493.45,494.2,496.15,"55,59,031","2,75,81,24,719.80","74,009","18,65,249",33.55
16,HINDALCO,EQ,24-Jan-2023,494.2,496.7,497.9,483.55,484.05,484.65,488.84,"32,93,586","1,61,00,27,555.95","70,599","9,81,816",29.81
17,HINDALCO,EQ,25-Jan-2023,484.65,484.1,495.8,484.1,489.0,489.1,489.52,"73,41,066","3,59,36,02,539.70","1,11,236","25,35,172",34.53
18,HINDALCO,EQ,27-Jan-2023,489.1,493.5,494.8,467.95,479.0,479.0,480.67,"45,91,590","2,20,70,27,519.60","75,669","12,87,282",28.04
19,HINDALCO,EQ,30-Jan-2023,479.0,479.0,483.35,463.95,471.7,472.35,470.94,"58,04,476","2,73,35,46,595.70","86,991","24,34,649",41.94
20,HINDALCO,EQ,31-Jan-2023,472.35,474.95,476.35,465.5,469.0,468.4,470.78,"56,79,604","2,67,38,62,417.80","91,024","27,08,894",47.7
21,HINDALCO,EQ,01-Feb-2023,468.4,473.0,480.6,454.6,467.6,467.85,472.15,"60,75,062","2,86,83,31,086.75","93,318","18,85,592",31.04
22,HINDALCO,EQ,02-Feb-2023,467.85,467.0,471.0,460.8,466.0,465.4,465.96,"33,56,544","1,56,40,25,591.65","70,308","10,45,237",31.14
23,HINDALCO,EQ,03-Feb-2023,465.4,467.75,468.95,450.2,458.5,459.65,457.56,"57,07,642","2,61,15,99,177.40","82,161","21,24,892",37.23
24,HINDALCO,EQ,06-Feb-2023,459.65,457.0,457.0,446.0,446.75,447.35,450.27,"43,98,369","1,98,04,62,766.10","64,940","16,48,392",37.48
25,HINDALCO,EQ,07-Feb-2023,447.35,440.0,441.9,425.5,429.35,429.55,431.38,"1,66,52,967","7,18,37,89,348.15","2,44,636","87,07,588",52.29
26,HINDALCO,EQ,08-Feb-2023,429.55,432.0,439.8,432.0,435.5,436.5,436.03,"61,21,515","2,66,91,82,674.20","92,093","19,82,492",32.39
27,HINDALCO,EQ,09-Feb-2023,436.5,437.0,447.7,431.75,446.1,444.55,439.73,"1,14,31,814","5,02,68,85,774.05","1,25,967","31,69,195",27.72
28,HINDALCO,EQ,10-Feb-2023,444.55,444.55,444.95,431.0,433.8,433.15,434.81,"66,48,361","2,89,07,44,622.55","83,928","19,29,354",29.02
29,HINDALCO,EQ,13-Feb-2023,433.15,434.5,439.8,426.55,427.7,427.7,431.92,"64,37,475","2,78,04,84,516.05","78,611","24,69,629",38.36
30,HINDALCO,EQ,14-Feb-2023,427.7,429.5,435.25,425.35,435.0,434.8,431.32,"39,51,666","1,70,44,38,993.55","64,140","10,26,241",25.97
31,HINDALCO,EQ,15-Feb-2023,434.8,435.5,437.25,430.6,433.8,433.95,433.97,"36,23,450","1,57,24,60,444.25","59,269","11,25,732",31.07
32,HINDALCO,EQ,16-Feb-2023,433.95,436.9,438.0,433.0,434.75,434.7,435.18,"42,82,249","1,86,35,46,751.00","68,119","20,71,524",48.37
33,HINDALCO,EQ,17-Feb-2023,434.7,434.75,438.0,426.6,430.0,429.5,431.99,"40,14,137","1,73,40,81,409.15","55,028","16,10,183",40.11
34,HINDALCO,EQ,20-Feb-2023,429.5,429.9,435.55,429.0,433.5,434.25,432.79,"37,49,802","1,62,28,75,751.20","54,690","12,62,762",33.68
35,HINDALCO,EQ,21-Feb-2023,434.25,437.75,438.3,430.0,432.0,431.5,434.27,"37,61,409","1,63,34,55,866.05","69,596","14,39,038",38.26
36,HINDALCO,EQ,22-Feb-2023,431.5,430.5,434.5,426.75,429.5,429.7,431.17,"52,76,939","2,27,52,33,470.35","64,063","27,63,980",52.38
37,HINDALCO,EQ,23-Feb-2023,429.7,430.4,438.5,430.1,437.4,436.45,434.5,"50,37,774","2,18,89,11,276.05","74,437","26,41,158",52.43
38,HINDALCO,EQ,24-Feb-2023,436.45,438.0,438.0,414.25,415.85,415.25,419.46,"1,08,14,032","4,53,60,59,569.75","1,31,427","31,12,847",28.79
39,HINDALCO,EQ,27-Feb-2023,415.25,415.0,415.0,401.5,412.0,411.8,407.33,"83,01,373","3,38,14,05,567.25","1,14,227","27,53,158",33.17
40,HINDALCO,EQ,28-Feb-2023,411.8,413.5,413.9,398.0,399.45,399.2,401.71,"1,21,74,759","4,89,07,61,949.15","1,27,358","67,37,032",55.34
41,HINDALCO,EQ,01-Mar-2023,399.2,402.0,414.9,401.65,413.9,413.05,410.99,"79,35,816","3,26,15,14,824.80","1,30,191","22,63,378",28.52
42,HINDALCO,EQ,02-Mar-2023,413.05,415.0,416.8,408.0,410.45,410.8,411.39,"48,04,013","1,97,63,12,258.20","74,037","16,79,319",34.96
43,HINDALCO,EQ,03-Mar-2023,410.8,413.2,419.35,412.2,418.5,416.9,416.11,"51,02,333","2,12,31,34,572.90","60,197","15,68,308",30.74
44,HINDALCO,EQ,06-Mar-2023,416.9,419.0,422.2,413.9,414.5,414.5,417.25,"50,71,598","2,11,61,26,107.25","74,017","18,48,110",36.44
45,HINDALCO,EQ,08-Mar-2023,414.5,409.95,409.95,396.1,408.75,407.75,405.54,"70,44,653","2,85,68,82,943.30","88,360","16,81,985",23.88
46,HINDALCO,EQ,09-Mar-2023,407.75,411.0,418.5,408.0,408.85,408.85,412.73,"69,82,179","2,88,17,86,557.70","86,825","15,59,583",22.34
47,HINDALCO,EQ,10-Mar-2023,408.85,403.0,409.5,395.4,406.2,405.65,404.89,"52,39,128","2,12,12,51,166.90","69,010","11,95,876",22.83
48,HINDALCO,EQ,13-Mar-2023,405.65,409.0,414.95,398.5,403.8,402.25,406.22,"59,62,595","2,42,21,20,999.25","76,984","13,79,274",23.13
49,HINDALCO,EQ,14-Mar-2023,402.25,404.3,407.95,399.45,403.6,402.7,403.3,"58,41,181","2,35,57,43,987.00","81,736","18,00,431",30.82
50,HINDALCO,EQ,15-Mar-2023,402.7,407.95,412.75,405.0,405.15,406.15,408.71,"56,81,268","2,32,19,85,314.50","62,659","18,78,467",33.06
51,HINDALCO,EQ,16-Mar-2023,406.15,400.6,400.85,383.1,385.5,384.95,387.07,"1,67,39,755","6,47,95,11,813.40","2,03,714","64,81,949",38.72
52,HINDALCO,EQ,17-Mar-2023,384.95,389.25,398.05,386.55,396.25,396.7,392.94,"98,61,244","3,87,49,09,589.55","93,479","41,98,189",42.57
53,HINDALCO,EQ,20-Mar-2023,396.7,393.75,394.05,381.0,386.25,385.75,385.42,"63,31,283","2,44,01,94,585.30","87,755","16,54,808",26.14
54,HINDALCO,EQ,21-Mar-2023,385.75,387.7,390.6,384.95,388.3,388.55,387.32,"60,80,002","2,35,49,22,361.20","91,870","23,18,046",38.13
55,HINDALCO,EQ,22-Mar-2023,388.55,390.1,396.75,388.25,392.25,392.75,393.07,"65,11,605","2,55,94,89,239.75","98,949","23,96,118",36.8
56,HINDALCO,EQ,23-Mar-2023,392.75,387.0,400.65,386.0,398.6,398.8,397.07,"1,04,53,779","4,15,08,59,824.00","92,029","29,59,040",28.31
57,HINDALCO,EQ,24-Mar-2023,398.8,400.8,401.0,386.15,388.0,388.4,391.44,"88,33,099","3,45,75,84,852.85","86,717","33,37,563",37.78
58,HINDALCO,EQ,27-Mar-2023,388.4,390.0,396.6,389.4,389.55,389.95,392.8,"70,66,058","2,77,55,21,149.05","86,069","30,68,449",43.43
59,HINDALCO,EQ,28-Mar-2023,389.95,393.0,399.8,391.75,392.95,392.9,395.18,"64,24,209","2,53,87,40,694.60","70,293","19,48,981",30.34
60,HINDALCO,EQ,29-Mar-2023,392.9,394.9,400.9,389.9,399.0,399.05,394.16,"69,59,623","2,74,32,27,938.90","83,017","34,05,139",48.93
61,HINDALCO,EQ,31-Mar-2023,399.05,404.05,410.3,401.1,403.2,405.35,405.82,"74,68,634","3,03,09,56,684.95","1,53,206","33,99,819",45.52
62,HINDALCO,EQ,03-Apr-2023,405.35,406.5,406.9,399.55,402.25,402.55,402.06,"52,00,766","2,09,10,36,628.30","83,017","25,33,080",48.71
63,HINDALCO,EQ,05-Apr-2023,402.55,402.0,404.6,394.3,402.65,403.3,400.72,"56,07,641","2,24,70,75,773.75","68,547","18,09,749",32.27
64,HINDALCO,EQ,06-Apr-2023,403.3,401.0,406.5,398.75,404.5,405.25,403.7,"41,74,551","1,68,52,56,167.20","47,117","15,42,164",36.94
65,HINDALCO,EQ,10-Apr-2023,405.25,406.8,413.85,405.5,410.7,411.45,410.57,"53,27,008","2,18,70,86,396.75","62,407","23,81,817",44.71
66,HINDALCO,EQ,11-Apr-2023,411.45,412.9,418.05,411.15,417.5,417.55,415.57,"49,65,642","2,06,35,63,026.45","57,305","24,83,400",50.01
67,HINDALCO,EQ,12-Apr-2023,417.55,419.9,422.4,415.6,417.5,417.65,418.55,"47,01,591","1,96,78,70,070.25","65,869","21,18,998",45.07
68,HINDALCO,EQ,13-Apr-2023,417.65,418.05,422.75,415.35,422.2,422.05,419.64,"63,68,113","2,67,23,45,040.60","68,376","35,13,525",55.17
69,HINDALCO,EQ,17-Apr-2023,422.05,422.35,429.15,421.6,428.5,428.7,425.95,"69,20,340","2,94,77,13,653.60","93,653","39,31,860",56.82
70,HINDALCO,EQ,18-Apr-2023,428.7,430.0,433.0,427.9,430.7,431.55,430.9,"48,66,068","2,09,67,82,265.35","43,769","27,63,462",56.79
71,HINDALCO,EQ,19-Apr-2023,431.55,434.4,437.35,431.3,432.7,433.05,434.12,"59,82,454","2,59,70,75,444.50","60,854","27,84,876",46.55
